Isolate,Reads,Yield,GeeCee,MinLen,AvgLen,MaxLen,ModeLen,Phred,AvgQual,Depth,Quality
10CS0074,864298,158219210,33.1,35,183,301,301,33,33.8,94,&#10004;
10CS0083,2403072,416229890,33.4,35,173,301,301,33,33.7,249,&#10004;
10CS0075,1236712,212012156,33.3,35,171,301,301,33,33.6,127,&#10004;
10CS0078,1256820,291657441,33.1,35,232,301,301,33,34.4,174,&#10004;
10CS0079,1152010,244145364,33.2,35,211,301,301,33,33.0,146,&#10004;
10CS0082,1441690,355475283,33.2,35,246,301,301,33,32.8,212,&#10004;
10CS0084,1835640,379591793,33.4,35,206,301,301,33,33.3,227,&#10004;
10CS0052,2383564,469204948,33.7,35,196,301,301,33,33.9,281,&#10004;
10CS0076,815650,180826460,33.2,35,221,301,301,33,33.6,108,&#10004;
10CS0073,290148,75200171,33.3,35,259,301,301,33,33.4,45,?
10CS0048,1888372,339004571,32.9,35,179,301,301,33,34.2,203,&#10004;
10CS0080,1421406,314421901,32.8,35,221,301,301,33,32.5,188,&#10004;
10CS0077,1459734,307299239,33.5,35,210,301,301,33,33.2,184,&#10004;
10CS0081,331204,65367931,33.6,35,197,301,301,33,33.8,39,?
34471_OXC9939,na,na,na,na,na,na,na,na,na,0,&#10008;
34474_OXC9942,na,na,na,na,na,na,na,na,na,0,&#10008;
34476_OXC9944,na,na,na,na,na,na,na,na,na,0,&#10008;
34470_OXC9938,na,na,na,na,na,na,na,na,na,0,&#10008;
ref_strain,na,na,na,na,na,na,na,na,na,0,&#10008;
